Comment,Designator,Footprint,LCSC
MX_SW_solder,SW28,SW_MX_1u,
MX_SW_solder,SW10,SW_MX_1u,
MX_SW_solder,SW1,SW_MX_1u,
MX_SW_solder,SW70,SW_MX_1u,
MX_SW_solder,SW13,SW_MX_1u,
MX_SW_solder,SW87,SW_MX_1u,
MX_SW_solder,SW11,SW_MX_1u,
MX_SW_solder,SW27,SW_MX_1u,
LED_Small,D90,LED_MX_3mm,
MX_SW_solder,SW37,SW_MX_1u,
MX_SW_solder,SW5,SW_MX_1u,
MX_SW_solder,SW4,SW_MX_1u,
MX_SW_solder,SW23,SW_MX_1u,
MX_SW_solder,SW42,SW_MX_1u,
MX_SW_solder,SW91,SW_MX_1u,
MX_SW_solder,SW22,SW_MX_1u,
MX_SW_solder,SW64,SW_MX_1u,
MX_SW_solder,SW81,SW_MX_1u,
MX_SW_solder,SW52,SW_MX_1.75u_STP_1.25,
MX_SW_solder,SW30,SW_MX_1u,
MX_SW_solder,SW51,SW_MX_1u,
MX_SW_solder,SW34,SW_MX_1u,
MX_SW_solder,SW66,SW_MX_1u,
MX_SW_solder,SW8,SW_MX_1u,
MX_SW_solder,SW36,SW_MX_1u,
MX_SW_solder,SW68,SW_MX_1u,
MX_SW_solder,SW19,SW_MX_1u,
MX_SW_solder,SW73,SW_MX_1u,
MX_SW_solder,SW78,SW_MX_1u,
MX_stab,S2,STAB_MX_P_2.75u,
MX_SW_solder,SW61,SW_MX_1u,
MX_SW_solder,SW43,SW_MX_1u,
MX_SW_solder,SW33,SW_MX_1u,
MX_SW_solder,SW88,SW_MX_1.5u,
USB_B_Mini,J2,Molex-0548190589,
MX_SW_solder,SW56,SW_MX_1u,
MX_stab,S5,STAB_MX_7u,
MX_SW_solder,SW40,SW_MX_1u,
MX_SW_solder,SW20,SW_MX_1u,
MX_SW_solder,SW69,SW_MX_1u,
MX_SW_solder,SW16,SW_MX_1u,
MX_SW_solder,SW7,SW_MX_1u,
MX_SW_solder,SW67,SW_MX_1u,
MX_SW_solder,SW50,SW_MX_1u,
MX_SW_solder,SW72,SW_MX_1u,
MX_SW_solder,SW3,SW_MX_1u,
MX_SW_solder,SW57,SW_MX_1u,
MX_stab,S3,STAB_MX_2.25u,
MX_SW_solder,SW77,SW_MX_1.75u,
MX_SW_solder,SW59,SW_MX_1u,
MX_SW_solder,SW44,SW_MX_1u,
MX_SW_solder,SW29,SW_MX_1u,
MX_SW_solder,SW82,SW_MX_1.5u,
MX_SW_solder,SW75,SW_MX_1u,
MX_SW_solder,SW55,SW_MX_1u,
MX_SW_solder,SW38,SW_MX_1u,
MX_SW_solder,SW80,SW_MX_1u,
MX_SW_solder,SW14,SW_MX_1u,
MX_SW_solder,SW48,SW_MX_1.5u,
MX_SW_solder,SW31,SW_MX_1u,
MX_SW_solder,SW79,SW_MX_1u,
MX_SW_solder,SW6,SW_MX_1u,
LED_Small,D91,LED_MX_3mm-ROT,
LED_Small,D89,LED_MX_3mm,
MX_stab,S1,STAB_MX_P_2u,
MX_SW_solder,SW46,SW_MX_1u,
Conn_01x03,J3,PinHeader_1x03_P2.54mm_Vertical,
MX_SW_solder,SW45,SW_MX_1u,
MX_SW_solder,SW17,SW_MX_1u,
MX_SW_solder,SW54,SW_MX_1u,
MX_SW_solder,SW2,SW_MX_1u,
MX_SW_solder,SW58,SW_MX_1u,
MX_SW_solder,SW85,SW_MX_1u,
MX_SW_solder,SW18,SW_MX_1u,
D_Small,D47,D_SOD-123,
STM32F072C8Tx,U2,LQFP-48_7x7mm_P0.5mm,
D_Small,D45,D_SOD-123,
D_Small,D75,D_SOD-123,
D_Small,D28,D_SOD-123,
D_Small,D73,D_SOD-123,
D_Small,D22,D_SOD-123,
D_Small,D78,D_SOD-123,
D_Small,D31,D_SOD-123,
D_Small,D67,D_SOD-123,
D_Small,D87,D_SOD-123,
D_Small,D44,D_SOD-123,
220,R5,R_0402_1005Metric,
D_Small,D33,D_SOD-123,
D_Small,D21,D_SOD-123,
10k,R2,R_0402_1005Metric,
D_Small,D52,D_SOD-123,
D_Small,D66,D_SOD-123,
D_Small,D58,D_SOD-123,
D_Small,D41,D_SOD-123,
D_Small,D42,D_SOD-123,
D_Small,D20,D_SOD-123,
D_Small,D54,D_SOD-123,
D_Small,D19,D_SOD-123,
D_Small,D62,D_SOD-123,
D_Small,D40,D_SOD-123,
D_Small,D51,D_SOD-123,
D_Small,D35,D_SOD-123,
D_Small,D50,D_SOD-123,
D_Small,D88,D_SOD-123,
D_Small,D76,D_SOD-123,
D_Small,D71,D_SOD-123,
D_Small,D48,D_SOD-123,
74AHCT1G125,U4,SOT-23-5,
D_Small,D86,D_SOD-123,
D_Small,D84,D_SOD-123,
D_Small,D57,D_SOD-123,
100k,R3,R_0402_1005Metric,
D_Small,D36,D_SOD-123,
D_Small,D53,D_SOD-123,
SW_Push,SW92,SW_SPST_TL3342,
D_Small,D74,D_SOD-123,
XC6206PxxxMR,U1,SOT-23,
D_Small,D25,D_SOD-123,
D_Small,D59,D_SOD-123,
D_Small,D65,D_SOD-123,
D_Small,D68,D_SOD-123,
D_Small,D79,D_SOD-123,
D_Small,D32,D_SOD-123,
D_Small,D23,D_SOD-123,
D_Small,D26,D_SOD-123,
D_Small,D63,D_SOD-123,
D_Small,D27,D_SOD-123,
D_Small,D72,D_SOD-123,
D_Small,D64,D_SOD-123,
D_Small,D18,D_SOD-123,
D_Small,D56,D_SOD-123,
D_Small,D80,D_SOD-123,
D_Small,D43,D_SOD-123,
D_Small,D82,D_SOD-123,
D_Small,D55,D_SOD-123,
D_Small,D85,D_SOD-123,
2N7002,Q1,SOT-23,
D_Small,D61,D_SOD-123,
D_Small,D49,D_SOD-123,
SRV05-4,U3,SOT-23-6-routable,
D_Small,D77,D_SOD-123,
D_Small,D81,D_SOD-123,
D_Small,D70,D_SOD-123,
D_Small,D69,D_SOD-123,
D_Small,D46,D_SOD-123,
D_Small,D30,D_SOD-123,
Polyfuse_Small,F1,Fuse_1206_3216Metric,
D_Small,D17,D_SOD-123,
10k,R1,R_0402_1005Metric,
D_Small,D39,D_SOD-123,
D_Small,D29,D_SOD-123,
D_Small,D60,D_SOD-123,
D_Small,D83,D_SOD-123,
D_Small,D34,D_SOD-123,
D_Small,D38,D_SOD-123,
D_Small,D37,D_SOD-123,
D_Small,D24,D_SOD-123,
220,R4,R_0402_1005Metric,
